id	occurrences	char	shape_id
g544	68	越	ff30d8df74d4c5d9
g545	68	峰	a3a8a34430374409
g546	68	魔	fb793d0409a4b41a
g547	68	尻	51b4b299f910c925
g548	68	固	9a156345e377c41e
g549	68	藤	c6c78bacd0dc4f9c
g550	66	叩	22035a5778d0aae0
g551	66	曝	f4d08943f702eb25
g552	66	侵	90559ff8ce8a53eb
g553	66	母	ed0b5db46cdb7372
g554	66	狼	0efb37590bb6cea2
g555	66	盤	e8c2e13f4caf3124
g556	64	干	a3e2334f899a9ce4
g557	64	痛	f619b91c2ad49bc7
g558	64	烏	2537e5c473c5a295
g559	64	施	17bf44c5402596d0
g560	64	揺	d70567ca9cd38a50
g561	64	溺	c146c8613ec8888c
g562	64	歴	f1b6838eeebe319a
g563	64	寒	2fdb01a127473e3d
g564	62	売	de0600bcec7b1b27
g565	62	条	67d3e535738b1477
g566	62	歳	5a8cd6827b6fd6a4
g567	62	刻	55dfe73a95487b16
g568	62	慣	cb5fa2492f6cbdba
g569	62	油	a26a2acbdc3d8eb3
g570	62	跡	1f1799b346f7850b
g571	60	臭	bd7fdac26fbb1511
g572	60	欠	7a6f0719ea709b7c
g573	60	兄	64f51ef0bbcfcb6a
g574	60	幾	0c8c7d3b73cd8288
g575	60	黒	cffc802f88fe7b8f
g576	60	居	ed6c934885bced92
g577	60	訳	4f9ba197ceacd398
g578	60	巨	2df61bfb66fd8110
g579	60	困	e03efaad1938706f
g580	58	惑	7c52cbffba4b8b35
g581	58	塩	da3de18c06633fd1
g582	58	工	5c8e13194cd1d40c
g583	58	撹	d71aec270953be07
g584	58	染	d5cce24082c54cab
g585	58	尾	9c952f4858ac16b9
g586	58	融	d78da097543a6ddc
g587	56	唯	e822682b480f9100
g588	56	嗚	c55bb3c207b3613a
g589	56	丸	74785c12f82f6055
g590	56	魅	5dfcba76ee76ebae
g591	56	拡	f98da5efd8225a1d
g592	56	汗	1c9dd2e463f37df4
g593	56	逢	edd3be49ea1a1f59
g594	56	雑	312b0e77653810dc
g595	56	昇	2c03ca1210211b33
g596	56	脚	45e9ae7bcf0ba869
g597	56	建	1f996b3dee31ae40
g598	56	四	9c90b5a225fdc91f
g599	56	隙	00d67afcd0b79eca
g600	54	含	61951e7b67e81d1e
